"Leverandørnavn","Kategori","Produkttyper/områder","Rabattstruktur","Betalingsfrist","Kontaktperson (leverandør)"
"Neumann bygg","Grossist","Dører, vindu, verktøy, arbeidstøy, festemilder","Pris på forespørsel","30","For Rogaland: Andreas Nielsen <ani.bryne@neumann.no>, for Sørlandet: Trond Solvik - ts.kristiansand@neumann.no - 94 80 22 81"
"Nordic Door","Dører","Dør","45% rabatt + pris på forespørsel","45","Salg <salg@nordicdoor.no> Edgar Haugskott <edgar.haugskott@nordicdoor.no> tlf 46796810"
"Norprodukter Sale","Himling","metall, pet, treull, steinull, våtpress, tre og gips","Prisliste + prosjektpriser på større anbud","45","Laila Hetland Mob : 405 37 554 Mail: laila@norprodukter-sale.no"
"NorDan","Vindu og dører","Vinduer, balkongdører , skyverdører, ytterdører","Vinduer, balkongdører , skyverdører har 50%, Ytterdører: 42%. Prosjekt er på ppf","30","Generelt: Ketil Aune <ketil.aune@nordan.no> Tlf.: 94884005, for Sørlandet: Geir Berhus - geir.berhus@nordan.no - 41002829
Agder: Kjetil Rossebø, Kjetil.rossebo@nordan.no, Telefon: +47 46620131
Bergen: Per Helge Solli, mail: Per.helge.solli@nordan.no tlf:46620266
Thomas Hodne, Mail: Thomas.hodne@nordan.no Tlf: 92570300
"
"NorEngros","Kontor- og datarekvisita","Kontorrekvesita, møbler, renholdsprodukter, storhusholdning, embalasje og arbeidstøy.","Prisliste","30","Vetle Grimstvedt tlf: 476 19 121 vg@norengros.no"
"NCP Verktøy","Festemidler, verktøy m.m","Festemidler, verktøy, Arbeidstøy","Prisliste- Forespør pris på anbud","45","Frank Pedersen Mob: 483 28 488 E-post: frank@ncpverktoy.no"
"Paroc","Byggisolasjon","Steinull","53,5% rabatt - prisliste for tillegstjester","30","Eric Breiland 99226006 | Viktig at det sendes mail til begge ved henvendelser: ""Eric.Breiland@owenscorning.com + ordre.no@paroc.com"""
"Ramirent","Lift, brakker, byggmaskiner, heis, teleskoptruck, anleggmaskiner, Containere, letthus, toalett","Lifter, brakker, byggmaskiner, heis, teleskoptruck, anleggmaskiner, Containere, letthus, toalett","Prisliste","30","Rogaland: ivar.skjeveland@ramirent.no 911 05 983 
Agder: Jens Kristian Jensen jens.kristian.jensen@ramirent.no 908 26 336
Vestlandet: Øystein Grov, mobil: 92267234, mail:oystien.grov@ramirent.no"
"Rollform",,,"Prislister","30","Daglig Leder Runar Buraas <Runar@rollform.no> - 92635584"
"Rockfon","Lydisolering","Akustiske løsninger for tak og vegger","Rabattmatrise","45","Ordremail.no@rockfon.com 22 02 40 60 // 22 02 41 33 - Ved større anbud kontakt Mira Nedkvitne Mail: mira.nedkvitne@rockfon.com Tlf: 988 98 030"
"Siga Swiss","Vind og lufttettning","Tape, membraner, lim- og fugemasser, Primer m.m","Prisliste- egne priser på større anbud","45","Rogaland: Endre Lindheim <Endre.Lindheim@siga.swiss> 47663267 Agder: Paul Tsigakis Tlf : 48052453 Mail : paul.tsigakis@siga.swiss"
"Strai Kjøkken","Kjøkken","Kjøkken","Rabattmatrise 20-40% rabatt, se avtaledokument","30","Strai Kjøkken hovedkontor:
Christian Tveit
christian@strai.no
40888853

Strai Kjøkken Kristiansand:
Andre Berg
Andre.berg@strai.no
47452005

Strai Kjøkken Arendal:
Kurt Anfinnes
kurt@strai.no
46702542

Strai Kjøkken Stavanger:
Pia Hansen
Pia.hansen@strai.no
92244975

Strai Kjøkken Bergen:
Silje Lygre
Silje.lygre@strai.no
46700126"
"Triplan","Fullglassvegger m.m","Fullglassvegger m.m","Prismatrise på teams","45","David Nielsen dn@triplan + oes@triplan.net +45 27 11 27 27"
"Westco as","Avfallshåntering","Avfall og gjenvinningstjenester","Faste priser på småjobber, innhent egne priser ved anbud/prosjekt.","45","Ståle Corneliussen tlf: 992 19 996 mail: stale.corneliussen@westcomiljo.no"
"Naboen AS","Utstyr, Verktøy, Maskiner, lift, rengjøring, avfallshåndtering, støv og vannsuger, byggheis, varme, avfukter,strøm, transport","Utstyr, Verktøy, Maskiner, lifter, rengjøring, avfallshåndtering, støv og vannsuger, byggheis, varme, avfukter,strøm, transport","Har egne priser på prosjekt og Ramme. Se prislsite eller kontakt Naboen for pris.","45","Øysten Kjellsen, tel:      (+47) 911 06 544
epost: oystein.kjellsen@naboen.no"
"Service Master AS","vask, RTB, Renhold","Byggvask, Fasadevask, Vinduspuss, RTB, Brakkerengjøring, Renhold","Prosjektbasert bestillinger: 557,- i timen eks mva, Rammeavtale kr 650 i timen eks mva, Egne priser finnes i mappen. https://mouverno.sharepoint.com/:f:/s/Mouver-Prosjektlederne/Eud9Saif_6hNl27C-WgfFEsB9mYWfpihnnEFoZDuK2E0hg?e=h2jHxS","45","kontakt: Abdel Rahim Fakak, Tlf.47 44 99 44, mail abdel@servicemaster.no"
"Daloc Norge AS","Dører","Dører","32% rabatt + egne prosjektpriser til anbudsforespørsler","30","Ivar Vold - tlf: 93 08 41 00 -Mail: ivar.vold@daloc.no"
"Bo Andrén Norge AS","Gulv","Parkett","Prisliste i avtalen, egne priser ved anbud","30","Nils Andreas Røher Salg / Prosjektsjef - 98246077 - nar@boandren.no"
"HTH Norge","Kjøkken","Kjøkken","Prisliste i avtalen, egne priser ved anbud","45","Espen Karlsen eska@hth.no, Hth Rogaland: Stine Fredriksen stfr@hth.no tlf: 40705298. Suzanne Katrina Pegrum, Skap@hth.no tlf: 40705295, HTH Kjøkken Bergen, Reidar Rundsveen, reru@hth.no mobil 906 66 368 HTH kjøkken Haugesund,  Ronnie Clemmensen, rorc@hth.no mobil  HTH Kjøkken Kristiansand, Trond Aske mail tras@hth.no mobil 900 72 001901 99 619"
"Skau gulv","Gulv","Parkett, parket laminat, ferdig lagt","Har egne priser på prosjekt og Ramme. Se prislsite eller kontakt Skau Gulv for pris.","45","Kenneth Pedersen , tlf: 40861460, kenneth@skau.com"
"Norsk Gjenvinning","Avfallshåndtering","Avfall og gjenvinningstjenester","NGN Prisliste.xlsx","45 dager","Agder: Tom Løchen  tlf +47 91334736, e-post tom.lochen@ngn.no. Rogaland: Iven Austbø  +47 48400920 og e-post iven.austbo@ngn.no, Agder: Jan Vidar Vadseth, tlf +47 97553009, Mail: jan.vadseth@ngn.no"
"Trapperingen","Trapp","Trapp, Stella serien og øvrige modeller","Se prisliste, pris gis ved forespørsel","30 dager","Rogaland: Roy David Thorsen: roydavid.thorsen@trapperingen.no tlf:  92 468 507. Agder: kurtegil.bjorkjendal@trapperingen.no tlf:  91 861 773 "
"Retura ","Avfallshåndtering","Avfall og gjenvinningstjenester","Vedlegg 1 - Prismatrise Mouver.xlsx","45 dager","Daniel Johansson ,Tlf 45473781, mail: Daniel.johansson@retura.no"
"Sørbø Industribeslag ","Beslag og Festemidler","beslag, aluminium, tetting, festemidler","Pris på forespørsel","45 dager","Kontaktpersoner Sørbø Industribeslag
Vestland
Sørbø Industribeslag
Morten Olsen – Distriktansvarlig Vestland
Mob: 917 79 990
Mail: morten.olsen@sorboas.no
•
Berland Bygg as
•
Flex Bygg as
•
Bergen Prosjekt og Sotra entreprenør as
Rogaland
Sørbø Industribeslag
Norvall Gjellestad – Regionsleder Rogaland/Agder
Mob: 479 70 544
Mail: norvall.gjellestad@sorboas.no
•
Sola Bygg
•
Sagen
Sørbø Industribeslag
Rune Stokka – Distriktansvarlig Rogaland
Mob: 909 84 069
Mail: rune.stokka@sorboas.no
•
Faber
•
Stolt Bolig
Agder
Sørbø Industribeslag
Norvall Gjellestad – Regionsleder Rogaland/Agder
Mob: 479 70 544
Mail: Norvall.gjellestad@sorboas.no
•
PK Entreprenør as
•
HSH Entreprenør as"
"Sigdal Kjøkken ","Kjøkken og garderober","Kjøkken og garderober","Pris på forespørsel hos lokal forhandler","30","Tore Størseth
Mail:    tore.storseth@sigdal.com
Tlf.:      476 51 049

 "
"Aubo Kjøkken","Kjøkken, garderober og bad","Kjøkken, bad og garderober
","Pris på førespørsel","30","Helene Gilje
Salgs- og kategorisjef Kjøkken, bad, garderobe
Mobil +47 91 66 78 80 / helene.gilje@optimera.no

 "
"Uldal AS","Dør og vindu","Dør og vindu",,,"Rogaland
Kalkulatør: Bendik Bigset
E-post: bendik.bigset@byggma.no

Distriktssjef: Rune Bjørgsvik
E-post: rune.bjorgsvik@byggma.no

Vestland
Kalkulatør: Kjetil Finsådal
E-post: kjetil.finsaadal@byggma.no

Distriktssjef: Rune Bjørgsvik
E-post: rune.bjorgsvik@byggma.no

Sørlandet
Kalkulatør: Kjetil Myrvold
E-post: kjetil.myrvold@byggma.no

Distriktssjef: Helge Bjorland
E-post: helge.bjorland@byggma.no"
"Arti konsult","AI - kurs og div","AI",,,"Jørgen Helmers Olsen 
Mail: Jorgen@articonsult.no"
